Species,All Traits, , ,Without N/As,,,N/A Percentage
 ,Precision,Recall,F1-Score,Precision,Recall,F1-Score, 
Dialium guineense,0.6790322580645161,0.5629251700680272,0.553858206032119,0.7375,0.7214452214452214,0.72875226039783,0.6086956521739131
Dichrostachys cinerea,0.7833333333333333,0.7589131187262028,0.7699466883527606,0.8028455284552845,0.8338935574229691,0.8166333998669328,0.17391304347826086
Diospyros mespiliformis,0.8220211161387632,0.6848484848484848,0.7136752136752136,0.8342999171499585,0.7561904761904762,0.781094527363184,0.30434782608695654
Dombeya quinqueseta var. senegalensis,0.8485169491525424,0.6898989898989899,0.7215144122164996,0.8978174603174602,0.8517543859649123,0.8715447154471545,0.43478260869565216
Ekebergia senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Elaeis guineensis,0.5454545454545454,0.9624060150375939,0.5638020833333334,0.5454545454545454,0.9,0.5277777777777778,0.5652173913043478
Englerina lecardii,0.5357142857142857,0.9511278195488722,0.5409749670619236,0.5357142857142857,0.9197530864197531,0.5230425055928412,0.391304347826087
Entada abyssinica,0.8159663865546218,0.6727941176470589,0.7032829498411477,0.875,0.875,0.8750000000000001,0.43478260869565216
Entada africana,0.7660753880266076,0.6102941176470589,0.626046511627907,0.8160173160173161,0.7967479674796748,0.8056574122577265,0.5652173913043478
Erythrina senegalensis,0.8722677595628415,0.6669730392156863,0.7008928571428572,0.9294871794871795,0.8828571428571428,0.9034690799396682,0.5217391304347826
Erythrina sigmoidea,0.7532258064516129,0.5983401190103351,0.6112603416783067,0.7956521739130434,0.7575757575757576,0.7737373737373738,0.5652173913043478
Erythrophleum africanum,0.7760180995475113,0.6759615384615385,0.7032829498411477,0.7973856209150327,0.7532467532467533,0.7714856762158562,0.30434782608695654
Erythrophleum suaveolens,0.7727688787185354,0.6689342403628118,0.6911651728553136,0.7943469785575048,0.7354469854469854,0.7562724014336918,0.2608695652173913
Eucalyptus camaldulensis,0.78803202697008,0.6904430203399275,0.7139573070607552,0.8063255152807391,0.7673697270471465,0.7822859970311726,0.391304347826087
Eucalyptus citriodora,0.8121281464530892,0.7005882352941176,0.729530495831505,0.8224476854787571,0.7511111111111111,0.775454045129334,0.2608695652173913
Eucalyptus tereticornis,0.777496839443742,0.6975697569756976,0.7217030114226375,0.7790178571428572,0.7155172413793103,0.7367405978784957,0.13043478260869565
